Username;Comment
shakiba_rajaeii;@2nyayn2 same situation
saanaz.mo;خیلی ممنونم لطف کردید💪💪
omid.r.north_iran;@adineh_08 ❤️❤️❤️#MahsaAmini
aliebrahimi7o;قضیه چیه دقیقا؟ یکی یه توضیحی بده بی زحمت
safurjavan;کسی از لیسبون و پرتغال نمیره؟
shr8968;@sezhams منم گوتنبرگم ، اگه كسى پيدا شد به من هم خبر ميدين بى زحمت ؟!
mahboobeh.azizkhani;دمتون گرم
araash_akbari;@papaverr حدود ٤-٥ نفر پادوا هستن
farzamkurd;گریه ام گرفت با وجود این که هم نمیشناسن ولی همه برای ی هدف میجنگن و متحد میشن فکر نمیکردم اینقدر متحد باشیم دست تک تک تون میبوسم ای کاش منم میتونستم بیام
s_hbnia;@fatemeh__a_zadeh کاش نظرتون رو در مورد بچه های اوکراینی که با موشک و پهپادهای ایرانی کشته میشن رو هم بگین.  اینکه عراق تو جنگ از المان و فرانسه تسلیحات میخریده ، اون هم چهل سال پیش، چه ارتباطی به امروز داره؟ اصلا کی حمایت کرده؟ چه اهمیتی داره حکایت کردن یا نکردنش؟  تو این ده سال اخیر ، جهان دگرگون شده ، تکنولوژی منفجر شده. حتی ما با همون عراقی ها که از همون تسلیحات برعلیه ما استفاده میکردن ، امروز شده برادر و خواهر شما، حتی سرویس جنسی دادن به برادران عراقی ، پاداش اخروی داره، من نمیگم، علم الهدی ، میگه
kenteracht;Frankfurt am Main 🖤💚🖤💚💚💚💙💙🖤🖤💚💙💙❤❤💗💗💗🖤🖤🖤🖤🖤💚💚💙💙💙🖤🖤🖤🖤
bahador__roostaei;درود بر شما هم وطن ما هم ۷ نفر از لونبورگ میاییم هامبورگ اگه شد با من هم هماهنگ کنید ممنون میشم
shakiba_rajaeii;بچه هایه هلسینکی چه جورین میرین ؟ بلیت ها گرونه
yusef.alimohamadi;@m.persian85 اره ولی بخاطر دانشگاه مجبورشدم عوض کنم شهرمو
pajalli;از زوريخ كسي هست تيم بشيم ؟
sara.miim;@s.natanzi باشه بیا برو تو کارگر رستوران شو. ببینم لیاقت و عرضه ی همین و داری اخه بد بخت.  شماها ته توانایی تون اینه  چوب بدن دست تون برید هموطنهای خودتون و بزنید برای یه  پرس غذا که بشینید تو چمن های پارک ها و میدونها بخورید
ttaravatt;@sahar.banaeiii من و ۲ نفر دیگه از پاریسم
fariba.r.75;ما دوسلدورف هستیم بچه های دوسلدورف با هم هماهنگ کردن ماشین گرفتن خبر بدن لطفا
shahram.maghami;من هم از هامبورگ میام. اگه اتوبوس یا ون جای خالی داشت اطلاع بدید لطفا.
shadmehr1.jesus;از منچستر داریم میریم با بچها باید بریم وظیفمون هست.🌹🌹🌹😊
ttaravatt;@ttaravatt خیلی اتوبوس و قطار و هواپیما از پاریس گرونه 😢
_1998maya_;من از ونکور
ardeshirr_s;@marjan.vie منم هستم
kat4youn;Agar kasi hast ke az ffm mire va ghasd dare hamun ruz bargarde manam bebare lotfan :)) tankgeld ham mitunim teilen konim
me.ranjbaran;@alifarnoud  عالی، من با هر دو آپشن موافقم ، صد در صد در هزینه بنزین شریک خواهم شد،ولی اگر تعدادمون زیاد باشه قطار رو ترجیح میدم که همه با هم باشیم
cupid_justice;@soudabeh.mortazavian منم رم هستم ولی وسیله ندارم
resa_far;"با درود به ایرانیان یکدل 
از هامبورگ به مقصد برلین برای ۴ نفر. فقط اولویت با افرادی که پناهنده و در هایم و فاقد امکان خرید بلیت هستند. لطفآ اگر امکان خرید بلیت قطار رو دارید از همین اکنون اقدام کنید. از هامبورگ رفت و برگشت حدود ۶۵ یورو با قطار هزینه داره . به امید یک اعتراض با شکوه و پیروزی و آزادی ایران ❤️❤️❤️"
ghazall_eh;@simihade
lida.tayoub;منم از هامبورگ هستم
shiva.shahr;@samira__bsh mamnoon samiraye aziz ❤️
soheila_pers;@nahayeh @leilaryaan
ghazall_eh;Flixtrain ro check konin, arzoontare
peymankani__;@tuska.mam bbakhshid man pas nadaram nmitunm biam🤦🏻‍♂️🙋🏻‍♂️
rainsgirl1983;#سارینا_اسماعیل_زاده
farah.ash;@my_experience_about_love کجا درخواست دادید؟
rainsgirl1983;#نیکا_شاکرمی
rainsgirl1983;#ایران_من_آزاد_باش
hastiehadis;کسی از هامبورگ میره ؟
ghazall_eh;دوستانی که تو شهرای اصلی هستید، فلیکس ترین همیشه ارزونتره از باهن! حتما چک کنین
hamed.es65;@neginwazi خانم ممنون میشم آدرس دقیق رو اینجا کامنت کنید 🙏🙏🙌
ghazall_eh;@ykeshavarz @goli_sey
soodabesarvestani;به من پیام بده لطفا. واسه بلیت یه نفر پیدا شده
the_aroosha_;بوداپست
leilaryaan;@soheila_pers بچه ها تو کلن حالا دارند یه کاری می کنند از اینجا بریم
zrhr.shrt;@farzad.miri.0059 به منم میشه خبر بدین؟
ghazall_eh;@misha_sallami فلیکس ترین از دوسلدورف ۳۰ یوروئه
shr8968;چرا از گوتنبرگ هيشكى نيست ؟!
lida.tayoub;خيلي هم عالي ما هم چهار نفر هستيم البته ماشين دارم ولي اگر اتوبوس باشه كه خيلي هم عالي ميتونيم همگي يك اتوبوس كرايه كنيم
soheila_pers;@leilaryaan پس اگه این نشد ما میایید با شما میریم
mona_bozorgi;‏#mahsaamini #opiran #woman_life_ freedom
ary_hashemi;@anamah_beauty ما هم سه نفریم کلن
oud_zar;ما هزاران بار برای زنده بودن مرده ایم.برای قسط ها ی عقب افتاده،کسر حقوق و دیرکرد و رنج نان،برای کرایه خانه و کمر شکسته پدر،ما برای نان و اب و خاک،هزار بار مرده ایم.رنج مارا فریاد کنید حنجره ای برایمان باقی نمانده است.😢😢😢
ary_hashemi;@afsaneh871 من با فلکسی بوس ار ارنم میخوام برم
farah.ash;@hadissvaisi5077 به منم بگو اگر از میلان می خواید برید
reyhanegraphic;وای چقد با خوندن پیاما قلبم اکلیلی شد🥺❤✌🏻 #اتحاد_رمز_پیروزی 🌱
daniel.ghaeli_;بچه ها از کاسل کسی هست ؟
raz.mousa;@farzadit22 @azadeh.italy
arash2set;@masi.2731 با ماشین می‌رین؟
raz.mousa;@narges_ranjbarsari @azadeh.italy
lida.rueintan;از تورینگن یا لایپزیک کسی هست؟
anna.daei13;کسی هست از اشتوتگارد یا فرانکفورت بره جای خالی داشته باشه ؟
solmazrmm;@somayevakili97 b mnm age mishe khabr bedid k chetor hastesh
amir.tayebisani;از فرانکفورت کسی اتوبوس هماهنگ نکرده؟ اگه کسی خبر داره لطفا به من اطلاع بده ممنون
roshanakroshanaee;@nahidsanganian ناهید تو داری میری؟
amirsh171;کسانی که از شهرهای دیگه میان برلین ،اگه بلیط گروهی بخرند واسه ی کل المان  واسشون به صرفه میفته فکر میکنم حدود هفتادوپنج یورو باشه
tayebe_skh.1990;👏👏👏👏😍❤️❤️❤️
farah.ash;@mahdieh.farahani جایی نیست که بشه درخواست بدیم بلیط رایگان بهمون بدن؟
ary_hashemi;@hannaiism من میخوام برم ولی ماشین ندارم احتمالا با فلکسی باس
hamed.es65;"خدایی دمتون گرم 😢😢
آدم این همبستگی رو میبینه افتخار میکنه به ایرانی بودنش 🔥🔥🙌🙌"
ary_hashemi;@hakami_shabnam به من هم خبر بدید ۳ نفر
sbehtash;@mrs_zara_uk سلام میشه به منم بید چیکار میکنید برا رفتن از لندن؟
meisam._.shayan;سلام همگی. کسی از هانوفر هست؟ ما دو نفر هستیم. اگر ماشین دارید یا گروهی کرایه کنیم خبر کنید همین زیر. ممنون
sima.saadi;@mitddgr من و دوستم از دیژون هستیم
roshanakroshanaee;کسی نیست از لیزبون؟
mina_ntgh;@shr8968 سلام عزیزم، من احتمالا با اتوبوس برم اگه اوکی هستی باهم بریم
nahidsanganian;@roshanakroshanaee الان دایرکت میدم بهت
hakami_shabnam;@ary_hashemi چشم
nargesmosavat;من از یونشوپینگ میام، میتونم بیام لوند یا مالمو. اگر کسی از این جاها میره میشه به من هم خبر بده.
shoraye_etehade_mobarezinn;از شهر پادربورن شیش نفر هستم
s_e_p_93_e_h_r;@foroughshahi عه خوبه . چطوری قراره برین؟
farah.ash;@yasaman_elmii شما راهی پیدا کردین برای رفتن؟ اگر‌تعداد زیاد باشه شاید بتونیم اتوبوس بگیریم
yasmango0o0la;من از جنوب فرانسه هستم. اگه تعدادمون زياد باشه شايد بتونيم ارزونتر سفر كنيم و البته دسته جمعي باحال تر هم هست. اگه كسايي هستند و ايده هاي خوب دارن من رو هم در جريان بذاريد لطفا! مرسي
tala.g.tehrani;@omidkps @melodmah  read this honey
hesamfgh;کسی هست از بروکسل بخواد بره؟
somayevakili97;@solmazrmm من تو کپشن پستی که برای تظاهرات بود دیدم که نوشتن که میخوان اتوبوس بگیر. @akhtar.ghasemi
behfarddesign;@avale.mehr تصورش هم زیباست😍
fateme.abdolrazaghi;@adineh_08 دل همه ما ایرانه، این ها کمترین کارهایی هستن که میتونیم بکنیم، شما جونتون رو کف دستتون گرفتین و میرید تو خیابون، ما شرمنده شما هستیم. ولی بدونین همیشه پشتتون هستیم. شنبه پانزده اکتبر هم تو اشتوتگارت یه راهپیمایی هست برای ایران. به امید پیروزی. فقط این رو بدونید که کل دنیا صداتون و صدامون رو شنیدن، این رو به هر کسی که میبینی بگو، کم نیارید ❤️
marmarazin;من از پاریس
farah.ash;@dena.mohebbi مشکل هممون اینه که الان پول تو دستمون نیست. نمیتونیم به جایی ایمیل بزنیم درخواست بلیط رایگان کنیم؟ اگر تعداد زاید باشه جواب میده
sahar__mohammadi93;ما هم از هانوفر میریم برلین با قطار میریم کسی بود خبر بده باهم بریم
mahsa_pirmoazen;@mahdisbahramii @maria.moradpour
frnz.artgallery;@amr._.rz باblablaمیتونین برین خیلی ارزون در میاد
omidkps;@mona_kjv میپرسم‌ بهتون خبر میدم
omidkps;@inspiration_spring 👏👏
farah.ash;@farah.ash زیاد*
baharehbazri;اکر کسی لایپزیک و یا مرزبوگ یا هاله میاد امکان جا و جابجایی داریم.
hoseinzade.7979;چطوری بریم برلین
asefeh9396;من ویزام شنگن نیست نمیتونم بیام خیلی غصه میخورم
hamidam.54;از بادن بادن....
frnz.artgallery;دوستان  blabla  خیلی ارزون در میاد
a_useless_being;کسی از کایزرسلاترن، منهایم و یا هایدلبرگ هست؟
roshanakroshanaee;@safurjavan @nahidsanganian
hamidam.54;اگه کسی هست از کالسووهه میره و ماشین داره بما بگه مارم ببره
ary_hashemi;@cestfere لطفا اگه پیدا شد به من هم خبر بدید یک نفر
saraasadireal;@mahdiehmoghadam_ منم کلن هستم. به منم خبر بدید لطفا
samira__bsh;@shiva.shahr karii nakardam ❤️✨🕊️
danial.007_67;سلام دوستان از دوسلدرف کسی میره منم بیام یک نفر هستم
bafrin.zavareh;@shirin.akaber نه متاسفانه اما اطلاع رسانی میکنم شیرین جان
danial.007_67;از دوسلدرف یا شهر Neuss کسی میره منم لطفا ببرید
saraasadireal;منم از کلن هستم اما ماشین ندارم
shr8968;بهت دايركت بدم اشكالى نداره ؟! ❤️
nafimirzaii;@naripix_photography 😍
hamidam.54;بچه هااا ما از بادن بادن و کالسروهه میریم ماشین نداریم ولی اگه کسی هست ازین دوتا شهر پیام بده همه باهم بریم
saraasadireal;منم هستم
ary_hashemi;@__daaryaa.slh__ من با فلکسی بوس میرم
dena.mohebbi;@farah.ash هست بهم یه دایرکت بدید نمیدونم یا نه ولی چطور مسیریه برای ما بدردمیخوره
omid.tf;👏👏👏
bahar.jamshidi_;منو دوست پسرم از کاسل میخوایم بریم اما هیچ وسیله ای نداریم. لطفا اگه کسی کاسل هست یا از کاسل رد میشه بگه ماهم باهاش میریم
life.yalda;دقیقا با اتوبوس اجاره ایی گروهی خیلی صرفه تره
neginn1777;از پاریس من میخوام برم اگه چند نفر بشیم بریم عالی میشه
nima6789;تو کامنتا میبینم زیاده کسایی که نوشتن اتوبوس ولی انقدر کامنت زیاده دیده نمیشه همه مینویسن فقط که میخوان‌بیان
am__in__92;@tanin_brh chand nafarin?
saraasadireal;@mahroohoseinian منم کلن هستم. به منم میشه اطلاع بدید؟
lotfinikoo;@fatemehsnk بله حتما ، بيايد پي وي لطفا
mahsa.s.2020op;من یک نفر از کلن هستم ،اتوبوس کرایه کردین به من هم خبر بدید
zeesoori;@nima6789 ببین برای منم فقط دو سه نفر خصوصی نوشتن واسه همین نمیدونم کی واقعا میاد
bbbernojany;"im Namen der aktuellen Proteste im Iran und zur Unterstützung der iranischen Demonstranten bitten wir Sie, iranischen Staatsangehörigen in Deutschland am Samstag, den 22.10.22, die Reise nach Berlin kostenlos zu ermöglichen.
این رو لطفا توی پیج دویچه بان کپی کنید یا ایمیل بزنید ممنون میشم برای حمایت از ایرانیا و اعتراضشان"
hv42n;کسی هست که از لایپزیگ بخواد با ماشین یا بلیط ۵ نفره بره؟
about.faraa;من ایتالیا هستم. کسی از رم میره دوستان؟
tanin_brh;@am__in__92  ۴ نفر
shayda.525;اکانت @ArianisDrama در توئیتر گفته میتونه هزینه بلیط ده دانشجو رو برای رفتن به برلین بپردازه
fatah_amir_ali;دوستان از مونستر کسی هست؟
nima6789;سخته اینجوری هماهنگ کردن چون اگه کسی میخواد بیاد باید ۱۰۰٪ باشه که من بلیط بخرم
zeesoori;@nima6789 شما وقتی بلیط رو بگیر که براتون واریز کرده باشن
mooonamoo;@timsar.sina mersi man ba parvaz miram 😊 b omid azadi 🕊
roshanak_29;@mrs_zara_uk خیلی ممنون عزیزم 😍
nima6789;فعلن که هیچکس خصوصی ننوشته
karamiyanhamed;دوستان از تورین یا میلان کسی نیست؟
mina_ntgh;@shr8968 اوکی
goldenearth.11;@(null) خیلی ممنونم 🙏
saraasadireal;@mahroohoseinian منم کلن هستم. به منم میشه اطلاع بدید؟
roshanak_29;@n.kh813 ندا جان شما خودت یه ارتش یه نفره هستی ، بهت افتخار میکنیم 👏
idnbab;از بوخوم کسی هست بره؟
sanaztarlan;از لوکزامبورگ کسی هست ؟؟
aramenayati;دوستان کسی از کاسل هست  لطفا پیام بده برای هماهنگی بهمون
zaniyar_bahrami;من از نورنبرگ کسی بود خبر کنه ممنون
afrouz_alipour;Bruxelles
karamiyanhamed;بچه های ایتالیا کسی پیگیر گرفتن اتوبوس نیست؟ جمعیت زیادی میخواد بره برلین اما حمل و نقل یکم سخته. لطفا پیگیری کنید
pouya_vahabi;@mahdiehmoghadam_ @akhtar.ghasemi @mahsa_pirmoazen
zeesoori;"@zeesoori https://t.me/+KdUQBYYPX804MWQ0
من یه گروه تلگرام ساختم برای هماهنگی از هامبورگ اینجوری راحت‌تر میشه گفتگو کرد @nima6789"
karamiyanhamed;@_.najji منم هستم
shahloie;@soodabesarvestani دورود برشما
hamidrezaahmadi6606;کلاگنفورت ❤️❤️❤️❤️
mansour73ch;مرسی ک از خارج از کشور ما مردم داخل ایران و  حمایت میکنید همه باهم برای ایرانی آزاد و آباد بدون ظلم
zeesoori;"@zeesoori  https://t.me/+KdUQBYYPX804MWQ0
برای هماهنگی روز ۲۲ از هامبورگ بیایید تو‌ تلگرام هماهنگ کنیم"
niushashahrokhi;@pariiiya.jfr
mary_y1986;دوسلدورف، ۳ نفر هستیم
zohrehhejazi;@masood.z.z دوست عزیز شما از کجا و چه ساعتی حرکت میکنین اگر کلن هستین من از Bonn  میام
zohrehhejazi;@masood.z.z دوست عزیز شما از کجا و چه ساعتی حرکت میکنین اگر کلن هستین من از Bonn  میام
about.faraa;@hadissvaisi5077 عزیزم میشه خبری شد به منم اطلاع بدین؟
ata_eslamboulchilar;@sou_sweet_lifestyle لطفاً شهرتون بگيد يا دايركت بفرستيد
t.malakout;بچه ها از پاریس کی میره؟
karamiyanhamed;@soudabeh.mortazavian من تورینم.
_sherminn_;@monajzzj  age betunid etela resani konid kheili khub mishe
hamid.taksavar;@nazdane_a hodode 12 s@te  az marze ystad
ati_shafee;@ati_shafee دوستان عزیز با عرض پوزش من برای دو نفر بلیط گرفتم همین قدر در توانم بود ببخشید
hamidrezaahmadi6606;@otrishaustria من ۵ نفرم
thisisanaj;@niushadoesthings منم رم هستم بریم بریم
nima6789;میتونی منو اد کنی؟ نمیتونم لینک رو کپی کنم اینجا @nima6789 آیدی تلگرام ام
maryaamkasra;ma 4 nafar hastim az bamberg ✌🏻😍
zohrehhejazi;@masood.z.z چه ساعتی و مبدا کجا است
about.faraa;@niushadoesthings منم رم هستم. با اتوبوس موافقین شما هم؟ چند نفر جمع شدیم تا الان؟
thisisanaj;@call_me_kimii اتوبوس بگیریم ؟ بچه ها من هنوز کارت اقامت جدیدم نیومده فک کنم فقط با اتوبوس میتونیم بریم که گیر ندن بهمون
monajzzj;@_sherminn_ share kardam too pagam💪🏻
houman.s;Man Jomhe az bremen Miram. Shanbe shabam barmigardam. 1 nafar mitunam ba khodam bebaram
zohrehhejazi;@masood.z.z من همراهم👌👌👌👌 اگه مشکلی نباشه💚🤍❤️
hamid.taksavar;@nazdane_a
eansieh_tajfirooz;من از میلان میام
am__in__92;@tanin_brh sharmande man mashinam vase 3nafar ja dare ba khodam 4ta
essi_ffm;از فرانکفورت هستیم دونفریم تا دونفر دیگه جا داریم  برا شنبه ۲۲
maryam2019420;ماهلند هستیم ، شهر روتردام اگر کسی هست که بخواد بره ، به ما هم خبر بده
hanadr60;از هلند کسی جا داره ؟ یک نفر
mohammadsamm_naseriiii;@onlineshop_istanbulm8 شما بیشتر ویزا لازم داری تا بلیط 👍 اما دمت گرم
rozhina_rr;لطفا لطفا پیام ایمیل به DB رو پین کنید تت‌ همه بفرستن.
rozhina_rr;اتناحلخل
hamid.taksavar;@nazdane_a ما برنامه داریم  برای رفت و برگشت اگه تعداد زیاد بشیم میتونم مینی بوس ۱۶ نفره اجاره کنیم ولی مشکل جا هست واسکان
shahab.pg;@__zahra_fa_ منم هم اسن هستم اگر گروهی خاستید برید منم لطف کنید
about.faraa;@dena.mohebbi دقیقاا. من خودم رم هستم. دارم میگردم همسفر پیدا کنم بیام.
nazdane_a;@hamid.taksavar be @ykeshavarz message bede
n.kh813;@roshanak.heidarii فدات شم عزیزم
imernaz;@hadissvaisi5077 منم میلان هستم، اگه خواستین با اتوبوس یا چیزی همه با هم برین میام
kimbiiil;@cestfere منم هستم اگر کسی بود از بروکسل
nazdane_a;@nazdane_a jome shab miran, shanbe shabam barmigardan yani asan ja nemigiran
_wine_is_life_;@hamfekri__hambastegi_ 🙌❤️
hamid.taksavar;@hamid.taksavar یا اینکه جا بگیریم یکشنبه صبح برگردیم یا بعد از برنامه که کلی خسته میشیم
emad_b_1993;منم هامبورگم کسی جا داشت میام
imernaz;@raz.mousa من میلانم
tanenbaum__t_;کسی از پاساو یا مونیخ میره؟
angi_karshenas;دمتون گرم ! ما از پاریس میاییم ! قراره یه ون اجاره کنیم و لااقل ۳ تا جا داریم
imernaz;از میلان اگه کسی میره به منم خبر بدین لطفا 🙏🏼🙏🏼🙏🏼🙏🏼
magmael888;@omidkps عالیه
rozhina_rr;@mohammad.jb6889 همینجا بچه ها گفتن میخوان اتوبوس بگیرن
sadeghaboutalebi;یه اتوبوس از استراسبورگ به مقصد برلین کرایه شده ، هرکس میخواد پیام بده معرفیشون کنم
am__in__92;@tanin_brh bahaton hamahng mikonam to pv age eshkali nadare
likethgrl;من از رم میام.کسی هست؟
a_______soltani;من از یزد میخوام بیام پاس هم دارم کسی اقامتمو اوکی میکنه😎😔
neginwazi;"@hamed.es65 از 
‏Berlin Hauptbahnhof
 كه ايستگاه اصلي مترو هست سوار  S Bahn (مترو) يكى از اين چهار خطى كه نوشتم مى شيد
‏S3, S5, S7, S9 
توي تابلو نوشته 
‏S3 به سمت S Spandau Bhf 
‏S5 به سمت S Westkreuz
‏S7 به سمت  S Potsdam Hauptbahnhof 
‏S9 به سمت S Spandau Bhf

ايستگاه بعد Bellevue  پياده مى شيد
از اونجا ١١ دقيقه پياده روي هست تا به يك ميدون بزرگ به اسم Siegessäule برسيد 
كه اسمش به فارسى ستون پيروزى هست و انتخاب عالى براى شروع تظاهرات

مسير از اين طريقى كه نوشتم طبق محاسبه گوگل مپ حدود ١٣ دقيقه هست كه مى تونيد كل مسير رو پياده هم بريد و هزينه مترو نديد. 
كل مسير پياده دو كيلومتر، حدود ٢٥ دقيقه پياده روي هست."
m.o.s.t.a.f.aa1990;آقا اگه کسی از #رم_ایتالیا میره و جا داره مسیج بده لطفا
neginwazi;@hamed.es65 مسير پياده روي رو توي صفحه م همراه با عكس ميذارم
zahra__lko;@thisisanaj منم رم هستم
farzad.miri.0059;@zrhr.shrt یه فالو بفرستید ، بهتون خبر میدم
emadbeyrami;بچه های سوئد استکهلم کسی هست بگه چن نفری هستیم.
shda2003;از مونستر
tanin_brh;@am__in__92 خب اگر امکانش هست ما سه نفرمون با شما بیایم
zahra__lko;@about.faraa من
mehran_kakaei;من به شخصه دست تک تک شما عزیزان رو میبوسم، ما تو ایران داریم تلاشمون رو میکنیم شما هم لطفا کمک حال ما باشید
parni.g96;@soudabeh.mortazavian منم میلانم
khabat_ebrahimii;ویسمار🔥❤️
maryam__taghinezhad;@momlife_swedishstyle ما هم دو نفریم ، اگه کسی پیدا بشه برنامه ریزی کنه یه ون یا اتوبوس بگیریم یک روزه بریم.
a.safavi75;من و دوستم از اشتوتگارت ماشین اجاره می کنیم میریم، هر کی خواست بیاد. اگه تعداد زیاد بشه می تونیم ون کرایه کنیم.
anahitaamirnia;من از انگلیس با دو نفر میخایم بریم ولی هنوز راهی پیدا نکردیم
shirin.akaber;@bafrin.zavareh مرسی عزیز جانم😍
m.o.s.t.a.f.aa1990;@yasaman_elmii منم همینطور. اگه خواستید هماهنگ کنید خبر یدین لطفا
venon_mr;@otrishaustria منم سر راه سالزبورگ سوار میکنین ؟؟
adel02122;بچه ها از کیل کسی جا نداره واسه دو سه نفر
mitrakhodaei1990;@mahdoooosh اسمش دقیقا چی به المانی ؟
n.hn1401;من از خود ایران زخمیم به شرفتون به کارتون و دیدگاه پاکتون درود میفرستم😍😍😍
shirin.akaber;@soha.sammakchi منم الان دارم حساب میکنم دوباره. در نهایت خیلی انگار فرق نمیکنه. ولی اگه زیاد باشین و یه اتوبوس بگیرین شاید ارزون تر بشه. البته که هماهنگیش خیلی سخته
navidkrad;"man text ro inja gozashtam ke harmikhad rahat betone copy paste kone:
https://justpaste.it/76jp2"
narges_ranjbarsari;@amyishere_5 نه عزیز دلم😢
soudabeh.mortazavian;@karamiyanhamed کسی رو نمیشناسین ک بریم باهاش؟
shirin.akaber;@meeladrajabi هماهنگ میشیم پس باهم❤️
omid_._yazdchi;بچه ها هامبورگ بیان یه گروه تشکیل بدیم کلا هماهنگی داشته باشیم از الان تا آزادی ایران واقعا اطلاع رسانی هامبورگ ضعیفه اگه یه گروه بشیم فکر کنم کلی آدم جدید بیاد
m__a_mir;@pajalli من هستم و بی وسیله
mitrakhodaei1990;من سمت اولدنبورگ و فارل هستم اگه کسی وسیله داشت خوشحال میشم باهم بریم .
schafieisara;@4farid من و دوستمم از هانوفر میخوایم بریم، شما چجوری قرار هست برید
sepideh.alimoradi;عزیزان از هلند، ما از آمستردام با اتوبوس حرکت می‌کنیم به سمت برلین هرکسی میاد پیغام بده لینک گروه تلگرام رو برای رزرو بفرستم براش‌. به امید آزادی✌️🙏🤝🙌 #مهسا_امینی #زن_زندگی_آزادی #اتحاد #جاویدان_ایران_عزیز_ما #جوانان_ایران
mad_leoni;@uroji_neda بله🙏
baharlotus;@ykeshavarz 2 nafar ma hastim
zeesoori;"@omid_._yazdchi 
https://t.me/+KdUQBYYPX804MWQ0"
pajalli;با ترن؟
soudabeh.mortazavian;@farah.ash نه هنوز اما خ مشتاقم برم
mahdiehmoghadam_;@saraasadireal میتونین به Dbایمیل بزنین برای بلیط رایگان فعلا تا جواب بدن
life.rangin;@soudabeh.mortazavian منم ایتالیام، گواهینامه هم دارم ولی ماشین ندارم
shayan_zy90;@shahryar.ffzz mnm miam
hamed.es65;@neginwazi خیلی ممنونم 🙏🙏
sepideh.alimoradi;@hannaiism استوری من رو چک کن
alireza.zh;Man az Dortmund miram 3 ta ja daram kasi az nrw bood khabar bede
sepideh.alimoradi;@ary_hashemi استوری من رو چک کن
m__a_mir;@foroughshahi من هستم و بی وسیله
sepideh.alimoradi;@afsaneh871 استوری من چک کن
life.rangin;@call_me_kimii منم رمم. گواهینامه بین المللی دارم ولی ماشین ندارم
shayan_zy90;@shahryar.ffzz mnm miam
neginwazi;"من برلين زندگى مى كنم، اين ادرس دقيق محل تظاهرات برلين:
از 
‏Berlin Hauptbahnhof
 كه ايستگاه اصلي مترو هست سوار  S Bahn (مترو) يكى از اين چهار خطى كه نوشتم مى شيد
‏S3, S5, S7, S9 
توي تابلو نوشته 
‏S3 به سمت S Spandau Bhf 
‏S5 به سمت S Westkreuz
‏S7 به سمت  S Potsdam Hauptbahnhof 
‏S9 به سمت S Spandau Bhf

ايستگاه بعد Bellevue  پياده مى شيد
از اونجا ١١ دقيقه پياده روي هست تا به يك ميدون بزرگ به اسم Siegessäule برسيد 
كه اسمش به فارسى ستون پيروزى هست و انتخاب عالى براى شروع تظاهرات

مسير از اين طريقى كه نوشتم طبق محاسبه گوگل مپ حدود ١٣ دقيقه هست كه مى تونيد كل مسير رو پياده هم بريد و هزينه مترو نديد. 
كل مسير پياده دو كيلومتر، حدود ٢٥ دقيقه پياده روي هست.
چون اينجا نمى تونم عكس بذارم توي صفحه م عكس مسير پياده روى رو مى ذارم."
shabi.jam;@ 400 یورو؟
m__a_mir;@pajalli نمیدونم، قطار اولویت آخره... امیدوارم راه دیگه ای پیدا کنم
m.o.s.t.a.f.aa1990;@taraneh_sn منم همینطور
saraasadireal;@niloofar.aslanpoor منم از کلن
saraasadireal;@hasti_hanna منن از کلن
m.o.s.t.a.f.aa1990;راستش من و همسرم هم میخوایم بریم ولی ن ماشین داریم و ن وضعیت مالی خوب. اگه کسی از رم ایتالیا خواست بره و ماشین داشت حاضریم سهممون از پول سوخت رو بدیم و مارو ببرن
mandyyyse;Kasi az Helsingborg Sweden mire?🇸🇪
hosseindonnie;کسی برای شب ۲۲ام جا داره برای یک نفر؟  از میلان میام
rasouli.gmail;@soudabeh.mortazavian مام از تیتالیا هستیم
fatem.eh8114;جا دارین برا دونفر دیگ از هامبورگ؟
m.o.s.t.a.f.aa1990;@m.o.s.t.a.f.aa1990 دانشجو هستیم اینجا
misha_sallami;@ghazall_eh فلیکس مگه اتوبوس نیست؟
arkannsa;درود. کسی از زوریخ میرە و ماشین داشتە باشه؟ سپاس
saraasadireal;@saraalma2015 منم از کلن
a1laaa_hh;@hastiehadis shoma vasile darid ya mikhayid ba kasi berid?
shabi_fk;@s.natanzi نه دیگه من اروپا هستم مهندس کنترل کیفیتم 🤣
pajalli;اگه زياد شيم ميشه اتوبوس كرايه كرد
sezhams;@shr8968 اره حتمن .
rasouli.gmail;@soudabeh.mortazavian ما هم از ایتالیا هستیم
mandyyyse;@baha2r.m flixbuss ya netbuss mamoolan arzoone
masoud.privato;سلام دوستان از جنوب ایتالیا کسی نیست بخواد بره بمن هم خبر بده لطفا، من ایستان پولیا هستم
kimiaaahh;@ykeshavarz چقد راهه از استکهلم با اتوبوس؟
bghsoroush;دوستان ما از رم میخوایم بیایم .. کسی هست کمک کنه؟
foroozkamaljoo;از فرايبورگ كسي ميره ؟
nazila__fa63;بچه ها ما کلی ایمیل فرستادیم برای HVV و تقاضا بلیط قطار مجانی کردیم برای ایرانی ها ، ایمیل در حال بررسی هست امیدوارم که موفق بشیم ازشون این امتیاز رو بگیریم
azade.aram.b;دوستان من و دوستم مي خوايم از مونيخ بريم برلين براي راهپيمايي هر كسي مي تونه ما رو ببره پيام بده تا هزينه بنزين رو با هم تقسيم كنيم
life.rangin;@about.faraa ما هستیم. گواهینامه بین المللی  هم داریم ولی ماشین نداریم
